date,portfolio_value
2023-07-19,116971.90805426423
2023-07-20,115772.81508246248
2023-07-21,116037.68658819977
2023-07-24,116231.95901861969
2023-07-25,115410.84578314605
2023-07-26,116679.92742546825
2023-07-27,117568.3146324995
2023-07-28,118295.93825920849
2023-07-31,119031.99634941843
2023-08-01,118217.60630425242
2023-08-02,117755.33461388377
2023-08-03,118079.47753533152
2023-08-04,121059.05298241404
2023-08-07,122063.15217217235
2023-08-08,121852.9293175581
2023-08-09,121438.5700798872
2023-08-10,121574.53724297312
2023-08-11,121750.01295098093
2023-08-14,122273.45559319285
2023-08-15,121446.44982537058
2023-08-16,120602.03260430125
2023-08-17,120891.8547936323
2023-08-18,120371.86710747507
2023-08-21,120286.46879967478
2023-08-22,120202.23273857859
2023-08-23,120240.71804323829
2023-08-24,120861.60518923438
2023-08-25,120270.89695254005
2023-08-28,120225.79732790626
2023-08-29,120210.67870608009
2023-08-30,119881.9895123545
2023-08-31,120033.78913393655
2023-09-01,119469.9920453135
2023-09-05,119060.92869082131
2023-09-06,120126.14756289164
2023-09-07,121707.28830996196
2023-09-08,121587.32335940044
2023-09-11,121255.5329693858
2023-09-12,121806.91355410259
2023-09-13,122393.67164126078
2023-09-14,122348.35753908793
2023-09-15,122865.14911928814
2023-09-18,122522.26478090923
2023-09-19,122278.68471804302
2023-09-20,122269.62414065044
2023-09-21,121395.61185304551
2023-09-22,121550.75287477403
2023-09-25,121842.13846437364
2023-09-26,121515.17489473252
2023-09-27,122090.79084627063
2023-09-28,122419.36932222277
2023-09-29,121925.78314058215
2023-10-02,122181.04459230334
2023-10-03,122240.96909181504
2023-10-04,122547.22981874376
2023-10-05,122236.86845247178
2023-10-06,122106.39961091905
2023-10-09,121949.51528016954
2023-10-10,122185.08499757676
2023-10-11,122527.63214723497
2023-10-12,122269.7488617125
2023-10-13,122087.03069154649
2023-10-16,122336.4539398375
2023-10-17,122546.88936464221
2023-10-18,122088.02788392932
2023-10-19,121766.50668626778
2023-10-20,121692.73118883125
2023-10-23,121657.00989061348
2023-10-24,122006.54239183418
2023-10-25,119754.67738634102
2023-10-26,121066.63503557198
2023-10-27,122260.7342024421
2023-10-30,121751.75032335274
2023-10-31,121804.36693101874
2023-11-01,121451.46931749335
2023-11-02,121423.88003831854
2023-11-03,121219.12280565253
2023-11-06,120677.75657945624
2023-11-07,120578.25381761542
2023-11-08,120038.71425157538
2023-11-09,119643.74215990058
2023-11-10,118868.39152818671
2023-11-13,119546.84176927558
2023-11-14,119927.53763109198
2023-11-15,119558.17660814276
2023-11-16,116963.07579103473
2023-11-17,117753.87179628375
2023-11-20,116602.2942968941
2023-11-21,118181.29211488727
2023-11-22,116312.69503847125
2023-11-24,116514.92077699665
2023-11-27,116284.85675111774
2023-11-28,116930.46705690389
2023-11-29,117324.4923101998
2023-11-30,116883.48410097128
2023-12-01,117319.05868593222
2023-12-04,118049.60321107872
2023-12-05,117635.3939673043
2023-12-06,118568.77870241173
2023-12-07,118323.74401918419
2023-12-08,117882.9358374215
2023-12-11,118058.16543642052
2023-12-12,117080.62448183067
2023-12-13,117179.34185853964
2023-12-14,119995.01498476036
2023-12-15,119757.8523229249
2023-12-18,120096.94302116707
2023-12-19,120279.60360466318
2023-12-20,119814.19404350595
2023-12-21,120296.0091222413
2023-12-22,120133.98133598642
2023-12-26,120475.3559697755
2023-12-27,120854.87569938977
2023-12-28,120119.41058098157
2023-12-29,119673.33834587414
